DG,Order_1,DG_limiter,QBDRAP
0.2066279357126873,0.2066279357126873,0.2066279357126873,0.2066279357126873
-0.7124438209894249,0.12430449828450506,0.16158525720500988,0.06491627414842635
-0.49648808640256803,0.06176681770944717,0.1637560983898449,-0.11290484596937628
-1.0958244461825086,0.007211857786249598,0.16371552536037293,-0.3347151654221347
-0.8359552001243236,-0.04272392332564042,0.16381073256477796,-0.5975889033506748
-1.0165884342857334,-0.08956533164554717,0.16370817944235214,-0.8919357327521317
-1.5266430634092627,-0.13415556769499087,0.16458865895038252,-1.2123574059849316
-1.018839975251109,-0.1770180809442561,0.1646662133982223,-1.5286157717302444
-1.5103021673640806,-0.21850371520247794,0.16460069034619884,-1.8138671004136404
-1.345636278429628,-0.25886088299387944,0.16449129461345666,-2.046740697652799
-1.2799589777609892,-0.298272887518574,0.16452492567948376,-2.220833575786363
